,city_name,cloudiness,country,data,humidity,lat,lon,max_temp,wind_speed
119,Shache,67,CN,1598816336,34,38.42,77.24,64.9,6.15
120,Terrace Bay,75,CA,1598816336,58,48.78,-87.1,59.0,3.36
121,Qaanaaq,0,GL,1598816337,78,77.48,-69.36,33.71,4.03
122,Faanui,1,PF,1598816338,76,-16.48,-151.75,76.82,22.86
123,Pimentel,94,PE,1598816339,60,-6.84,-79.93,69.8,19.46
124,Avarua,3,CK,1598816117,73,-21.21,-159.78,75.2,17.22
125,Fortuna,1,US,1598816341,59,40.6,-124.16,69.01,10.29
126,Bosaso,100,SO,1598816344,43,11.28,49.18,92.89,2.39
127,Hithadhoo,63,MV,1598816031,75,-0.6,73.08,82.42,10.76
128,Vidim,1,RU,1598816346,87,56.41,103.11,48.7,1.9
129,Tuktoyaktuk,75,CA,1598816346,93,69.45,-133.04,41.0,14.99
130,Misratah,0,LY,1598816347,74,32.38,15.09,80.96,14.72
131,Khatanga,92,RU,1598816348,88,71.97,102.5,44.22,7.74
132,Clyde River,40,CA,1598816351,81,70.47,-68.59,50.0,16.11
133,Cockburn Town,40,TC,1598816352,58,21.46,-71.14,87.8,11.41
134,Richards Bay,100,ZA,1598816355,78,-28.78,32.04,58.3,10.58
135,Kavieng,97,PG,1598816356,77,-2.57,150.8,82.36,14.16
136,Codrington,84,AU,1598816356,71,-38.27,141.97,47.28,9.75
137,Te Anau,49,NZ,1598816357,75,-45.42,167.72,48.43,11.05
138,São João da Barra,0,BR,1598816358,61,-21.64,-41.05,82.4,20.8
139,Saldanha,0,ZA,1598816359,70,-33.01,17.94,48.2,3.36
140,Texarkana,75,US,1598816360,70,33.43,-94.05,84.99,5.82
141,Sola,75,VU,1598816360,83,-13.88,167.55,80.6,9.17
142,Hambantota,75,LK,1598816361,88,6.12,81.12,78.8,3.36
143,Yumen,0,CN,1598816362,42,40.28,97.2,53.31,3.49
144,Smithers,90,CA,1598816363,81,54.78,-127.17,48.2,2.24
145,Stornoway,32,GB,1598816364,76,58.21,-6.39,55.4,5.82
146,Constitución,0,CL,1598816366,58,-35.33,-72.42,55.29,16.98
147,Aklavik,75,CA,1598816369,81,68.22,-135.01,46.4,4.7
148,Tabuk,100,PH,1598816370,83,17.42,121.44,74.16,2.93
149,Taltal,100,CL,1598816370,64,-25.4,-70.48,59.72,5.28
150,Lebu,0,CL,1598816373,69,-37.62,-73.65,49.84,26.19
151,Tasiilaq,100,GL,1598816375,53,65.61,-37.64,50.0,8.05
152,Ahipara,0,NZ,1598816116,83,-35.17,173.17,54.84,4.9
153,Al Bardīyah,0,LY,1598816376,77,31.76,25.09,75.88,8.08
154,Cabo San Lucas,20,MX,1598816169,78,22.89,-109.91,88.0,8.05
155,Los Llanos de Aridane,20,ES,1598816378,57,28.66,-17.92,75.2,16.11
156,Mt. Pleasant,40,US,1598816180,63,32.79,-79.86,93.2,12.06
157,San Cristobal,75,VE,1598816328,58,7.77,-72.22,86.0,16.11
158,Banda Aceh,95,ID,1598816380,78,5.56,95.32,80.42,9.01
159,Krasnosel'kup,55,RU,1598816381,94,65.7,82.47,46.67,7.16
160,Kologriv,100,RU,1598816381,96,58.83,44.32,57.42,6.69
161,Vila Franca do Campo,40,PT,1598816383,88,37.72,-25.43,77.0,8.05
162,Mahébourg,75,MU,1598816384,83,-20.41,57.7,71.6,18.34
163,Cabañas,40,CU,1598816385,55,22.98,-82.92,91.4,9.17
164,Dikson,100,RU,1598816386,96,73.51,80.55,41.5,15.68
165,Camacupa,43,AO,1598816387,57,-12.02,17.48,64.4,2.46
166,Carnarvon,0,AU,1598816387,100,-24.87,113.63,57.2,6.93
167,Bathsheba,40,BB,1598816388,70,13.22,-59.52,87.8,12.75
168,Severo-Kuril'sk,27,RU,1598816390,88,50.68,156.12,49.71,15.57
169,Senanga,77,ZM,1598816393,52,-16.12,23.27,71.49,2.98
170,Ponta do Sol,20,PT,1598816393,56,32.67,-17.1,73.4,20.8
171,Ancud,88,CL,1598816394,92,-41.87,-73.82,53.01,5.01
172,Rawson,18,AR,1598816395,54,-43.3,-65.1,50.16,23.02
173,Morondava,0,MG,1598816396,86,-20.28,44.28,74.1,11.77
174,Pangkalanbuun,43,ID,1598816397,88,-2.68,111.62,75.81,2.75
175,Acajutla,9,SV,1598816327,55,13.59,-89.83,87.8,3.36
176,Nikolskoye,40,RU,1598816398,82,59.7,30.79,61.0,4.47
177,Zalesovo,14,RU,1598816399,92,53.99,84.74,55.36,3.87
178,Egvekinot,57,RU,1598816401,73,66.32,-179.17,41.14,19.19
179,Sarapul,100,RU,1598816401,88,56.48,53.8,57.99,6.06
180,Chui,100,UY,1598816403,67,-33.7,-53.46,49.8,6.24
181,Batemans Bay,0,AU,1598816404,94,-35.72,150.18,44.01,3.87
182,Kralendijk,95,BQ,1598816405,66,12.15,-68.27,84.2,6.93
183,Kraslice,100,CZ,1598816408,94,50.32,12.52,54.0,4.0
184,Lamu,0,KE,1598816409,80,-2.27,40.9,76.57,13.27
185,Hualmay,80,PE,1598816413,69,-11.1,-77.61,66.13,11.7
186,Lerik,0,AZ,1598816415,83,38.77,48.41,73.4,6.93
187,Tomatlán,72,MX,1598816417,70,19.93,-105.25,86.79,8.79
188,Thinadhoo,98,MV,1598816421,76,0.53,72.93,82.74,11.74
189,Calama,99,CL,1598816422,9,-22.47,-68.93,69.8,21.92
190,Le Port,20,RE,1598816422,64,-20.94,55.29,71.6,16.11
191,Aligoodarz,0,IR,1598816423,35,33.4,49.69,57.88,4.45
192,Kismayo,0,SO,1598816424,81,-0.36,42.55,77.59,14.92
193,Saint George,1,US,1598816426,19,37.1,-113.58,96.01,5.82
194,Chara,12,RU,1598816428,80,56.91,118.26,46.45,0.56
195,Trelew,51,AR,1598816430,44,-43.25,-65.31,52.86,21.27
196,Arenápolis,0,BR,1598816430,11,-14.45,-56.85,104.54,2.46
197,Mutare,0,ZW,1598816431,52,-18.97,32.67,67.05,3.58
198,Tres Picos,70,MX,1598816432,59,15.87,-93.53,87.6,6.26
199,Sinjār,0,IQ,1598816435,12,36.32,41.88,89.87,8.41
200,Mēga,33,ET,1598816436,62,4.05,38.3,64.6,10.78
201,Talnakh,90,RU,1598816436,100,69.49,88.4,46.4,13.42
202,Port Moresby,75,PG,1598816436,94,-9.44,147.18,77.0,17.22
203,Benin,100,BJ,1598816438,97,9.5,2.25,72.57,4.59
204,Gumdag,1,TM,1598816441,45,39.21,54.59,75.52,14.5
205,Haines Junction,99,CA,1598816442,66,60.75,-137.51,50.76,5.86
206,Yeppoon,0,AU,1598816443,87,-23.13,150.73,60.8,5.82
207,Abhā,89,SA,1598816445,32,18.22,42.51,77.0,11.41
208,Orán,99,AR,1598816432,42,-23.13,-64.33,63.9,4.05
209,Arraial do Cabo,0,BR,1598816447,65,-22.97,-42.03,82.4,14.99
210,Nurota,0,UZ,1598816447,33,40.56,65.69,71.6,6.93
211,Banjar,40,ID,1598816448,94,-8.19,114.97,78.8,14.99
212,Okhotsk,100,RU,1598816449,83,59.38,143.3,54.09,10.51
213,Aars,0,DK,1598816449,84,56.8,9.51,57.99,3.06
214,Touros,0,BR,1598816032,58,-5.2,-35.46,82.4,13.87
215,Puerto Princesa City,100,PH,1598816291,85,9.74,118.74,78.85,4.18
216,Katsuura,75,JP,1598816452,94,35.13,140.3,80.6,5.82
217,Sørland,40,NO,1598816452,86,67.67,12.69,41.0,6.93
218,Wattegama,75,LK,1598816453,88,6.8,81.48,78.8,3.36
219,Ust'-Ishim,68,RU,1598816454,88,57.69,71.17,63.27,4.41
220,Adrar,100,MR,1598816454,10,20.5,-10.07,95.99,12.73
221,Turtas,53,RU,1598816456,82,58.94,69.13,64.69,8.08
222,Rjukan,72,NO,1598816458,75,59.88,8.59,46.27,1.41
223,Khorixas,0,NA,1598816460,57,-20.37,14.97,46.65,4.9
224,Chapais,90,CA,1598816461,58,49.78,-74.85,57.2,11.41
225,Necochea,0,AR,1598816462,45,-38.55,-58.74,53.01,8.01
226,Constantine,40,DZ,1598816462,61,36.37,6.61,77.0,11.41
227,Lüderitz,100,NA,1598816463,40,-26.65,15.16,56.37,29.08
228,Cidreira,100,BR,1598816464,92,-30.18,-50.21,57.65,13.24
229,Bambuí,56,BR,1598816464,28,-20.01,-45.98,85.08,9.73
230,Yantal',91,RU,1598816465,81,56.85,105.25,54.99,2.21
231,Medina del Campo,0,ES,1598816466,41,41.31,-4.91,62.01,5.82
232,Plattsburgh,75,US,1598816340,48,44.7,-73.45,66.2,11.41
233,Moïssala,100,TD,1598816468,96,8.34,17.77,69.98,1.88
234,Sampit,56,ID,1598816469,88,-2.53,112.95,74.93,2.95
235,Kruisfontein,56,ZA,1598816469,81,-34.0,24.73,46.0,1.99
236,Rio Grande,40,BR,1598816470,62,-32.03,-52.1,55.4,11.41
237,Laguna,1,US,1598816471,44,38.42,-121.42,84.0,3.36
238,Zyryanka,11,RU,1598816472,64,65.75,150.85,43.07,3.58
239,Berlevåg,75,NO,1598816472,70,70.86,29.09,48.2,13.87
240,Kalmunai,100,LK,1598816473,82,7.42,81.82,79.2,9.8
241,Nome,90,US,1598816473,76,64.5,-165.41,53.6,14.99
242,Bridgewater,0,CA,1598816474,65,44.38,-64.52,72.0,1.01
243,College,40,US,1598816475,62,64.86,-147.8,59.0,5.82
244,Kostomuksha,99,RU,1598816340,82,64.57,30.58,49.19,0.36
245,Pontal do Paraná,33,BR,1598816475,25,-25.65,-48.51,86.0,4.7
246,Oranjemund,18,NA,1598816476,60,-28.55,16.43,51.71,20.45
247,Naze,20,JP,1598816476,94,28.37,129.48,80.6,5.82
248,Bowen,3,AU,1598816477,93,-20.02,148.23,57.2,4.7
